page,part_number,description,price,includes
8,NX-5200K2,"VHF (136-174MHz), 6.0 Watts NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking",1094.50,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
8,NX-5300K2,"UHF (450-520MHz), 5.0 Watts NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking",1094.50,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
8,NX-5300K5,"UHF (380-470MHz), 5.0 Watts NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking",1094.50,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
8,NX-5300K3,"UHF (450-520MHz), 5.0 Watts NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking",1162.00,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
8,NX-5300K6,"UHF (380-470MHz), 5.0 Watts NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking",1162.00,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
8,NX-5200-ISCK2,"VHF (136-174MHz), 6.0 Watts NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking",1094.50,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
8,NX-5200-ISCK3,"VHF (136-174MHz), 6.0 Watts NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking",1162.00,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
8,NX-5300-ISCK2,"UHF (450-520MHz), 5.0 Watts NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking",1094.50,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
8,NX-5300-ISCK3,"UHF (450-520MHz), 5.0 Watts NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking",1162.00,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
8,NX-5300-ISCK5,"UHF (380-470MHz), 5.0 Watts NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking",1094.50,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
8,NX-5300-ISCK6,"UHF (380-470MHz), 5.0 Watts NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking",1162.00,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
8,KWD-5001FP,License Key for Front Panel Programming,356.30,
8,KWD-5002SD,License Key for microSD Memory Card Slot Activation,124.70,
8,KWD-5003BT,License Key for Bluetooth Data (Required for Data Communication),41.70,
8,KWD-5007RC,License Key for Remote Control by Subscriber Units,47.50,
8,KWD-5101TR,License Key for P25 Phase 1 Trunking (requires KWD-5100CV),617.80,
8,KWD-5102TR,License Key for P25 Phase 2 Trunking (requires KWD-5100CV & KWD-5101TR),475.20,
8,KWD-5103RK,License Key for P25 OTAR (requires KWD-5106DT for a Trunking Operation),831.70,
8,KWD-5105VT,License Key for P25 Conventional Voting Scan,142.70,
8,KWD-5106DT,License Key for P25 Trunking OTAR / GPS / OTAP,213.80,
8,KWD-5301TR,License Key for DMR Tier 3 Trunking (requires KWD-5300CV),158.30,
8,KWD-5500EE,License Key for DMR ARC4 Enhanced Encryption,47.50,
9,KRA-26M2,VHF helical antenna 162-174 MHz,22.00,
9,KRA-26M3,VHF helical antenna 136-150 MHz,22.00,
9,KRA-27M,UHF whip antenna 440-490 MHz,22.00,
9,KRA-27M2,UHF whip antenna 470-520 MHz,22.00,
9,KRA-27M3,UHF whip antenna 400-450 MHz,22.00,
9,KRA-22M,VHF low-profile helical antenna 148-162 MHz,22.00,
9,KRA-22M2,VHF low-profile helical antenna 162-174 MHz,22.00,
9,KRA-22M3,VHF low-profile helical antenna 136-150 MHz,22.00,
9,KRA-23M,UHF low-profile helical antenna 450-490 MHz,22.00,
9,KRA-23M2,UHF low-profile helical antenna 470-520 MHz,22.00,
9,KRA-23M3,UHF low-profile helical antenna 403-430 MHz,22.00,
9,KRA-41M,VHF stubby antenna 148-162 MHz,18.30,
9,KRA-41M2,VHF stubby antenna 162-174 MHz,18.30,
9,KRA-41M3,VHF stubby antenna 136-150 MHz,18.30,
9,KRA-42M,UHF stubby antenna 440-490 MHz,18.30,
9,KRA-42M2,UHF stubby antenna 470-520 MHz,18.30,
9,KRA-42M3,UHF stubby antenna 403-430 MHz,18.30,
9,KRA-25,High gain VHF helically loaded whip antenna 148-162 MHz,46.00,
9,KRA-28,Broad-band VHF helically loaded whip antenna 140-170 MHz,56.30,
9,KRA-29,Broad Band UHF Whip Antenna 380-430 MHz,49.30,
9,KNB-L1M,Li-ion 2000mAh (Compact Slim),158.30,
9,KNB-L2M,Li-ion 2600mAh (Standard),185.80,
9,KNB-L11M,Li-ion 3900mAh (High Capacity),240.50,
9,KNB-L11,battery requires NX-5x00 firmware,5.12,
9,KNB-L12M,Laminated Li-ion 3000mAh (High Capacity),210.00,
9,KNB-L13M,Laminated Li-ion 4000mAh (High Capacity),266.00,
9,KNB-LS5CU,CSA US Intrinsically Safe Battery Li-ion 2000mAh,280.00,
9,KNB-LS7M,CSA US Intrinsically Safe Battery Li-ion 3800mAh,402.70,
9,KBP-10,AA Alkaline Refillable Battery Pack (12 AA: 9V). Cells not included.,157.50,
9,KNB-54N,KSC-52AK Rapid rate single unit charger for the KNB-L11/L12/L13 high capacity battery,107.00,
9,KSC-52PAW,Charging pocket for KSC-526K and/or to convert the pocket style of a KSC-52 Single unit,12.00,
10,KSC-526K,and/or to convert the pocket style of a KSC-52 Single unit,12.00,
10,KMB-526K,Wall Mount Bracket for KSC-526K,91.50,
10,KVC-52,Rapid rate DC vehicular charger adapter for the KSC-52BK/52AK chargers (chargers not,208.30,
10,KVC-23A,"Rapid rate DC vehicular charger for TK-5x10/5x20, NX-5x00/x00/x10/x20, TK-x180, TK-x170,",402.70,
10,KBH-8DS,Leather swivel belt loop with portable D-Ring attachment,35.20,
10,KLH-6SW,Leather swivel belt loop / detachable swivel D-Ring back,29.50,
10,KLH-137ST,Firemen's Heavy-Duty Leather Shoulder Strap for a Heavy-Duty Leather Case,49.30,
10,KLH-200K3,Heavy duty leather carrying case for NX-5000 series with KNB-L1/L2/L3/LS5CU,59.20,
10,KLH-201K3,(for both keypad models),90.00,
10,KMC-70M,"MIL-SPEC, IP54/55/67/68* Speaker Mic with Active Noise Reduction",174.20,
10,KMC-72W,"MIL-SPEC, IP54/55/67 Noise-cancelling Speaker Mic",133.80,
10,KMC-49,"MIL-SPEC, Speaker Mic. with Antenna Connector",495.00,
10,KEP-1,3.5mm earphone kit for KMC-41/42W/54W/70M/72W Speaker Mics,74.50,
10,KEP-2,2.5mm earphone kit for KMC-49 Speaker Mic,74.50,
10,KCT-51,Hirose 6-pin Adapter (adapts KVL/aftermarket audio acc. to portable connector),306.70,
10,KHS-11BL,"2-wire palm mic w/earphone, universal connector (Black)",223.20,
10,KHS-12BL,"3-wire mini lapel mic w/earphone, universal connector (Black)",283.70,
10,KHS-14C,Lt. Wt. Single muff headset w/boom mic & In-line PTT,155.80,
10,KHS-15DC-BH,Hvy-duty behind-the-headset w/boom mic & earcup-mounted PTT with NRR of 24dB,611.00,
10,KHS-15D-OH,Hvy-duty noise reduction over-the-headset w/noise cancelling boom mic & PTT,522.80,
11,SM1PB003,Sensear Non-IS BT Headband Single hearing protection IP54 with NRR of 27dB,775.00,
11,SM1PE003,Sensear Non-IS BT Behind-the-Neck Single hearing protection IP54 with NRR of 24dB,775.00,
11,SM1PH003,Sensear Non-IS BT Helmet Mount Single hearing protection IP54 with NRR of 23dB,775.00,
11,KWD-AE31K,AES & DES Encryption Module (Multi-Key),737.20,
11,KCT-48VU,External Vibration Unit,114.00,
11,KPG-AE1K,AES/DES Encryption Software Key Loader for KWD-AE31K,649.10,
11,KPG-DE1K,DES Encryption Software Key Loader for KWD-AE31K,436.50,
11,KPG-36XM,Full Speed USB Programming interface cable,212.30,
11,KPG-93,Encryption Key Loader Interface Cable for Motorola KVL-3000/3000 Plus/4000,374.20,
11,KPG-93AUT,KVL-4000 Radio Authentication Cable,469.50,
12,KWD-ASK-AK,Access Key for KPG-D1NK P25 trunked programming,280.00,
12,KWD-ASK-MK,Master Key for activating KWD-ASK-AK Access Keys,668.50,
12,OPTION,"KPG-CLN-14P Portable-to-Portable Cloning Cable (14P:14P), 1m",301.80,
12,CHARGES,L-5001 Factory Activation of Radio Feature Licenses (per Radio),129.70,
12,L-5002,NX-5200/5300/5400 Programming (with basic TX/RX check),40.50,
12,L-5003,Install KWD-AE30K in NX-5000 series Portable,81.00,
12,L-5004,Install KWD-AE31K in NX-5000 series Portable,81.00,
12,L-5005,KPG-D1NK System Key File (SKF),142.20,
12,L-5024,Assemble Yellow Housing KWD-YH-5000 with NX-5000 series Portable,28.80,
12,L-5039,Configure NX-5200/5300/5400 for CSA US Intrinsically Safe,36.00,
12,L-5051,P25 CAP Compliance of Non-Encrypted Radio - Disable Built-in DES,54.00,
12,L-5077,FSFS++ Forest Service Feature Set - Factory Installation,64.80,
13,L-1849,FSFS++ Forest Service Feature Set - Field Installation,1512.00,
14,VOCODER,• Full Color,1.74,
